Subject Code,Shot Number,Shot Type (2) / (3),Miss (0) /Made (1),Position,Height,Body Mass,Peak Braking Force,Peak Braking Power,Peak Propulsive Force,Peak Propulsive Power,Left Leg / Peak Propulsive Force,Right Leg / Peak Propulsive Force,Jump Height,Braking Duration,Propulsive Duration,Displacement Depth,Force at Min Displacement
9,6,2,1,,,,1415,571,1570,1713,832,738,1.5,0.333,0.297,23.4,1415
9,7,2,0,,,,1355,474,1539,1815,837,703,1.3,0.352,0.319,18.3,1355
9,8,2,1,,,,1401,606,1514,1607,840,677,1.3,0.324,0.304,22.7,1401
9,9,2,1,,,,1419,569,1595,1914,859,737,2.9,0.320,0.303,19.0,1419
9,10,2,1,,,,1372,582,1527,1891,802,728,2.4,0.324,0.309,19.9,1372
9,1,3,1,,,,1611,779,1810,2552,950,861,11.2,0.311,0.251,34.4,1611
9,2,3,0,,,,1584,742,1803,2589,924,882,11.6,0.325,0.244,30.8,1584
9,3,3,1,,,,1482,573,1725,2741,882,843,9.1,0.292,0.277,15.3,1482
9,4,3,1,,,,1639,741,1827,2467,948,879,9.8,0.314,0.235,20.5,1639
9,5,3,1,,,,1579,644,1803,2624,934,870,8.9,0.292,0.252,22.4,1579
9,6,3,1,,,,1554,665,1798,2565,931,869,7.6,0.281,0.246,23.1,1554
9,7,3,1,,,,1590,692,1778,2515,926,859,7.8,0.290,0.261,22.6,1590
9,8,3,0,,,,1550,640,1806,2530,939,872,8.4,0.315,0.255,23.1,1550
9,9,3,1,,,,1520,621,1759,2549,898,861,7.9,0.306,0.267,22.6,1520
9,10,3,1,,,,1527,648,1761,2438,933,833,6.1,0.336,0.270,26.1,1527
10,1,2,1,Shooting Guard,190,90.68,1235,279,1832,2303,986,877,4.7,0.434,0.334,94.8,11.2
10,2,2,0,,,,1305,528,1929,2190,1005,936,5.3,0.280,0.279,90.4,13.1
10,3,2,0,,,,1243,360,1614,1713,891,733,2.6,0.343,0.330,66.1,10.5
10,4,2,0,,,,1277,323,1811,2057,905,976,4.5,0.255,0.280,90.7,9.3
10,5,2,1,,,,1231,235,1890,2106,973,972,4.6,0.249,0.282,86.9,7.9
10,6,2,1,,,,1282,418,1738,1963,914,844,3.5,0.247,0.309,77.2,11.2
10,7,2,0,,,,1330,475,1968,2438,1065,916,6.1,0.291,0.284,102.5,11.5
10,8,2,1,,,,1318,448,1690,1997,874,834,3.6,0.273,0.317,80.0,12.5
10,9,2,1,,,,1293,392,1662,1883,827,855,3.0,0.321,0.319,75.1,10.2
10,10,2,0,,,,1204,394,1903,2240,1082,823,5.9,0.309,0.296,99.5,11.4
10,1,3,1,,,,1316,549,2075,2829,1123,969,8.7,0.277,0.283,15.7,1316
10,2,3,0,,,,1492,421,2088,2927,1041,1055,10.7,0.314,0.244,14.6,1492
10,3,3,0,,,,1395,482,2146,3163,1087,1072,12.0,0.253,0.252,12.9,1395
10,4,3,0,,,,1505,669,2118,2941,1134,987,12.0,0.240,0.247,19.7,1505
10,5,3,0,,,,1180,503,2026,2804,1096,942,8.4,0.391,0.322,16.8,1123
10,6,3,0,,,,1562,467,2201,2486,1142,1064,8.4,0.618,0.218,23.4,1562
10,7,3,1,,,,1562,467,2201,2486,1142,1064,8.4,0.618,0.218,23.4,1562
10,8,3,1,,,,1347,314,2166,3408,1110,1064,13.0,0.294,0.250,10.2,1347
10,9,3,1,,,,1200,292,2081,3110,1107,985,9.6,0.298,0.296,16.7,1200
10,10,3,1,,,,1401,436,2078,2834,1079,1001,9.6,0.290,0.263,15.4,1401
11,1,2,0,Guard,191,89.49,1293,387,1844,2473,776,1069,6.9,0.269,0.288,9.8,1293
11,2,2,1,,,,1360,577,1740,2297,794,947,7.2,0.292,0.307,13.9,1360
11,3,2,1,,,,1355,609,1736,2266,769,968,7.2,0.313,0.291,15.3,1355
11,4,2,1,,,,1392,646,1738,2260,846,933,6.6,0.283,0.297,15.2,1392
11,5,2,1,,,,1424,609,1717,2164,759,967,5.9,0.264,0.294,14.5,1424
11,6,2,1,,,,1463,567,1757,2244,782,988,6.0,0.267,0.292,13.9,1463
11,7,2,1,,,,1473,637,1750,2300,824,935,7.3,0.285,0.285,15.5,1473
11,8,2,1,,,,1421,562,1687,2178,765,923,5.8,0.251,0.311,14.5,1421
11,9,2,1,,,,1529,635,1811,2369,845,991,7.0,0.234,0.275,13.8,1529
11,10,2,1,,,,1478,529,1878,2489,866,1015,8.4,0.261,0.265,13.9,1478
11,1,3,0,,,,1391,634,1660,2285,722,948,8.0,0.308,0.319,19.1,1391
11,2,3,1,,,,1400,758,1686,2419,805,901,8.8,0.267,0.321,18.2,1400
11,3,3,0,,,,1451,743,1766,2474,808,959,8.9,0.265,0.305,18.7,1451
11,4,3,0,,,,1405,802,1798,2489,851,949,9.8,0.254,0.295,17.8,1405
11,5,3,0,,,,1452,736,1752,2616,835,919,10.4,0.238,0.310,18.1,1451
11,6,3,0,,,,1476,837,1735,2551,796,942,10.4,0.235,0.311,19.6,1476
11,7,3,0,,,,1563,1304,1629,2238,828,877,8.2,0.262,0.320,20.2,1545
11,8,3,1,,,,1507,1044,1566,2306,821,884,8.6,0.517,0.342,19.1,1458
11,9,3,0,,,,1385,657,1680,2360,752,949,8.9,0.299,0.315,19.0,1376
11,10,3,1,,,,1419,934,1664,2364,785,894,9.0,0.254,0.321,19.2,1419
12,1,2,1,Forward,195,93.07,2021,893,2430,3148,1325,1110,13.2,0.273,0.206,18.0,2021
12,2,2,0,,,,2205,971,2538,3336,1556,998,15.3,0.266,0.193,18.5,2205
12,3,2,0,,,,1574,251,2420,4389,1438,982,13.2,2.745,0.257,51.8,1574
12,4,2,0,,,,1916,543,2512,4081,1507,1009,15.7,2.791,0.218,8.3,1916
12,5,2,0,,,,2139,903,2454,3329,1385,1072,12.5,0.203,0.202,18.2,2139
12,6,2,1,,,,2265,948,2617,3888,1490,1131,16.2,0.202,0.197,17.9,2265
12,7,2,1,,,,2142,892,2524,3424,1445,1081,13.7,0.229,0.201,16.5,2142
12,8,2,1,,,,2077,830,2303,2725,1245,1060,9.5,0.210,0.214,16.0,2077
12,9,2,1,,,,2046,669,2422,3281,1394,1028,11.0,0.230,0.217,6.1,2046
12,10,2,1,,,,2364,1049,2578,2858,1466,1112,12.5,0.241,0.186,47.4,2364
12,1,3,0,,,,1995,870,2441,3450,1361,1081,16.5,0.283,0.196,18.6,1995
12,2,3,1,,,,2070,1093,2296,3184,1359,940,16.2,0.294,0.204,22.5,2070
12,3,3,1,,,,2101,911,2350,3080,1371,983,15.4,0.253,0.202,19.8,2101
12,4,3,1,,,,2155,971,2323,3084,1379,948,15.4,0.275,0.210,24.8,2155
12,5,3,1,,,,1761,522,2397,3885,1355,1043,15.3,0.245,0.235,27.8,1761
12,6,3,0,,,,1545,276,2303,4647,1339,968,16.0,2.809,0.269,47.1,1545
12,7,3,0,,,,950,71,2368,7311,1343,1029,19.1,0.221,2.550,2.5,950
12,8,3,1,,,,2261,1667,2318,2560,1346,976,17.3,0.310,0.188,73.9,2261
12,9,3,1,,,,1933,637,2333,3675,1345,995,18.4,0.261,0.222,16.7,1933
12,10,3,0,,,,2113,897,2357,3473,1393,977,17.6,0.281,0.206,18.1,2113
13,1,2,0,Forward,203,89.79,1619,819,2304,3339,1172,1133,14.6,0.245,0.220,18.3,1619
